Circuit,Country,Length(km),Speed(km/h),Time
Losail Circuit,QATAR,5.38,167.7,115.445
Circuit Of The Americas,UNITED STATES,5.513,159.7,124.242
Jerez,SPAIN,4.428,159.9,99.565
Le Mans,FRANCE,4.273,145.4,103.597
Mugello,ITALY,5.245,175.4,107.639
Circuit de Barcelona-Catalunya,SPAIN,4.655,165.9,102.552
Assen,NETHERLANDS,4.545,172.3,94.894
Sachsenring,GERMANY,3.7,161,82.066
Mazda Raceway Laguna Seca ,UNITED STATES,3.602,159.3,81.539
Indianapolis Motor Speedway,UNITED STATES,4.078,153.2,99.044
Automotodrom Brno,CZECH REPUBLIC,5.403,167.4,116.135
Silverstone,GREAT BRITAIN,5.891,174.1,121.941
Misano World Circuit,ITALY,4.064,161.9,93.935
MotorLand Aragon,SPAIN,5.078,168.3,108.565
Sepang Circuit,MALAYSIA,5.543,164.5,121.415
Phillip Island,AUSTRALIA,4.445,181.7,88.108
Motegi,JAPAN,4.8,163.4,105.736
Comunitat Valenciana,SPAIN,4.005,157.3,91.628
