Times;Track;Country
259;Assen;Netherlands
153;Automotodrom Brno;Czech Republic
129;Spa Francorchamps;Belgium
114;Isle Of Man;Great Britain
111;Monza;Italy
106;Sachsenring;Germany
96;Mugello;Italy
95;Hockenheim;Germany
90;Le Mans;France
89;Jerez;Spain
87;Belfast;Ireland
76;Jarama;Spain
73;Donington Park;Great Britain
72;Circuit De Barcelona Catalunya;Spain
72;Nurburgring;Germany
72;Imatra;Finland
71;Salzburgrung;Austria
66;Misano World Circuit;Italy
63;Phillip Island;Australia
63;Anderstorp;Sweden
56;Suzuka;Japan
55;Montjuic;Spain
53;Imola;Italy
52;Comunitat Valenciana;Spain
52;Silverstone;Great Britain
51;Motegi;Japan
51;Sepang Circuit;Malaysia
46;Rijeka;Yugoslavia
43;Paul Richard ;France
39;Estoril Circuit;Portugal
36;Losail Circuit;Qatar
36;Opatija;Yugoslavia
31;Oscar A. Galvez;Argentina
28;Clermont Ferrand;France
27;Nelson Piquet;Brazil
24;Indianapolis Motor Speedway;United States
23;Mazda Raceway;United States
22;Solitude;Germany
21;Shah Alam;Malaysia
18;MotorLand Aragon;Spain
18;Phakisa Freeway;South Africa
18;Eastern Creek;Australia
17;Berne;Switzerland
12;Shanghai Circuit;China
12;San Carlos;Venezuela
9;Circuit Of The Americas;United States
9;Istanbul Park Circuit;Turkey
9;Kyalami;South Africa
8;Nogaro;France
8;Fisco;Japan
8;Daytona;United States
8;Tampere;Finland
7;Karlskoga;Sweden
7;Kristianstad;Sweden
6;Autodromo Termas De Rio Hondo;Argentina
6;A1 Ring;Austria
6;Sentul;Indonesia
6;Hungaroring;Hungary
6;Goiania;Brazil
6;Rouen;France
5;Reims;France
4;Hedemora;Sweden
3;Johor;Malaysia
3;Interlagos;Brazil
3;Magny Cours;France
3;Mosport;Canada
3;Albi;France
2;Zolder;Belgium
2;Schotten;Germany
2;Geneva;Switzerland
