Points,Rider,Bike,Nation
350,Casey Stoner,Honda,AUS
260,Jorge Lorenzo,Yamaha,SPA
228,Andrea Dovizioso,Honda,ITA
219,Dani Pedrosa,Honda,SPA
176,Ben Spies,Yamaha,USA
139,Marco Simoncelli,Honda,ITA
139,Valentino Rossi,Ducati,ITA
132,Nicky Hayden,Ducati,USA
109,Colin Edwards,Yamaha,USA
98,Hiroshi Aoyama,Honda,JPN
82,Hector Barbera,Ducati,SPA
70,Cal Crutchlow,Yamaha,GBR
67,Alvaro Bautista,Suzuki,SPA
64,Karel Abraham,Ducati,CZE
61,Toni Elias,Honda,SPA
49,Randy De Puniet,Ducati,FRA
43,Loris Capirossi,Ducati,ITA
10,Katsuyuki Nakasuga,Yamaha,JPN
9,Josh Hayes,Yamaha,USA
7,Kousuke Akiyoshi,Honda,JPN
6,John Hopkins,Suzuki,USA
3,Shinichi Ito,Honda,JPN
